gold_zeichen,hyp_zeichen,ebene,gesamt,gelegenheiten,anteil,anthropic_claude-haiku-4-5-20251001,anthropic_claude-opus-5,anthropic_claude-sonnet-5,deepseek-ocr_3b,gemma4_e4b,glm-ocr_bf16,google_gemini-3-5-flash,maternion_lightonocr-2_1b,minicpm-v4.5_8b,openai_gpt-5-6-sol,qwen3-vl_4b-instruct,qwen3-vl_8b-instruct,qwen3.5_4b
Ž,-,graphemisch,2,4.0,0.5,0,0,0,0,1,0,0,0,0,1,0,0,0
„,∅,graphemisch,2,29.0,0.069,0,0,0,0,1,0,0,0,0,1,0,0,0
u,∅,graphemisch,2,1042.0,0.0019,0,0,0,0,1,0,0,0,0,1,0,0,0
w,v,graphemisch,2,183.0,0.0109,0,0,0,2,0,0,0,0,0,0,0,0,0
x,r,graphemisch,2,12.0,0.1667,0,0,0,1,0,0,0,1,0,0,0,0,0
“,-,graphemisch,2,29.0,0.069,0,0,0,0,0,0,1,0,0,1,0,0,0
—,-,graphemisch,2,12.0,0.1667,0,0,0,0,1,0,0,0,1,0,0,0,0
∅,.,graphemisch,2,,,0,0,0,1,0,0,0,0,0,0,0,1,0
∅,L,graphemisch,2,,,0,0,0,0,1,0,0,0,0,1,0,0,0
ü,u,graphemisch,2,266.0,0.0075,0,0,0,0,0,1,0,0,1,0,0,0,0
Š,S,graphemisch,2,29.0,0.069,0,0,0,2,0,0,0,0,0,0,0,0,0
t,h,graphemisch,2,1172.0,0.0017,0,0,0,0,0,1,0,0,0,0,0,1,0
t,l,graphemisch,2,1172.0,0.0017,0,0,0,1,0,0,0,0,0,0,0,0,1
i,A,graphemisch,2,1489.0,0.0013,0,0,0,0,1,0,0,0,0,1,0,0,0
l,∅,graphemisch,2,951.0,0.0021,0,0,0,0,0,0,0,0,2,0,0,0,0
p,A,graphemisch,2,134.0,0.0149,0,0,0,0,1,0,0,0,0,1,0,0,0
r,I,graphemisch,2,1817.0,0.0011,0,0,0,0,1,0,0,0,0,1,0,0,0
n,K,graphemisch,2,2033.0,0.001,0,0,0,0,1,0,0,0,0,1,0,0,0
b,ä,graphemisch,2,340.0,0.0059,0,0,0,1,0,0,0,0,0,0,0,1,0
d,∅,graphemisch,2,723.0,0.0028,0,0,0,0,1,0,0,0,0,1,0,0,0
b,∅,graphemisch,2,340.0,0.0059,0,0,0,0,1,0,0,0,0,1,0,0,0
S,Ž,graphemisch,2,211.0,0.0095,0,0,0,0,1,0,0,0,0,1,0,0,0
S,k,graphemisch,2,211.0,0.0095,0,0,0,0,1,0,0,0,0,1,0,0,0
M,∅,graphemisch,2,240.0,0.0083,0,0,0,0,2,0,0,0,0,0,0,0,0
N,a,graphemisch,2,88.0,0.0227,0,0,0,0,1,0,0,0,0,1,0,0,0
L,F,graphemisch,2,150.0,0.0133,0,0,0,0,1,0,0,0,0,1,0,0,0
i,ü,graphemisch,2,1489.0,0.0013,0,0,0,1,0,0,0,0,1,0,0,0,0
s,S,graphemisch,2,1161.0,0.0017,0,0,0,0,1,0,0,0,0,1,0,0,0
s,i,graphemisch,2,1161.0,0.0017,0,0,0,2,0,0,0,0,0,0,0,0,0
k,c,graphemisch,2,367.0,0.0054,0,0,0,0,0,0,0,0,0,0,0,1,1
z,k,graphemisch,2,220.0,0.0091,0,0,0,0,1,0,0,0,0,0,1,0,0
ö,R,graphemisch,2,98.0,0.0204,0,0,0,0,1,0,0,0,0,1,0,0,0
ö,o,graphemisch,2,98.0,0.0204,1,0,0,1,0,0,0,0,0,0,0,0,0
Ö,O,graphemisch,2,24.0,0.0833,0,0,0,1,0,1,0,0,0,0,0,0,0
z,l,graphemisch,2,220.0,0.0091,0,0,0,1,0,0,0,0,0,0,0,0,1
∅,a,graphemisch,2,,,0,0,0,0,1,0,0,0,0,1,0,0,0
∅,d,graphemisch,2,,,0,0,0,0,0,0,0,0,2,0,0,0,0
c,E,graphemisch,2,509.0,0.0039,0,0,0,0,1,0,0,0,0,1,0,0,0
k,B,graphemisch,2,367.0,0.0054,0,0,0,0,1,0,0,0,0,1,0,0,0
h,N,graphemisch,2,687.0,0.0029,0,0,0,0,1,0,0,0,0,1,0,0,0
a,b,graphemisch,2,1170.0,0.0017,0,0,0,1,0,0,0,0,0,0,0,1,0
W,M,graphemisch,2,84.0,0.0238,0,0,0,1,0,0,0,0,1,0,0,0,0
a,L,graphemisch,2,1170.0,0.0017,0,0,0,0,1,0,0,0,0,1,0,0,0
 ,/,Segmentierung,1,3348.0,0.0003,0,0,0,0,0,0,0,0,0,0,0,1,0
A,Z,graphemisch,1,276.0,0.0036,0,0,0,1,0,0,0,0,0,0,0,0,0
.,∅,graphemisch,1,508.0,0.002,0,0,0,0,1,0,0,0,0,0,0,0,0
A,M,graphemisch,1,276.0,0.0036,0,0,0,1,0,0,0,0,0,0,0,0,0
A,∅,graphemisch,1,276.0,0.0036,0,0,0,0,1,0,0,0,0,0,0,0,0
D,∅,graphemisch,1,71.0,0.0141,0,0,0,0,1,0,0,0,0,0,0,0,0
 ,"""",Segmentierung,1,3348.0,0.0003,0,0,0,1,0,0,0,0,0,0,0,0,0
 ,%,Segmentierung,1,3348.0,0.0003,0,0,0,0,0,1,0,0,0,0,0,0,0
E,O,graphemisch,1,189.0,0.0053,0,0,0,0,0,0,0,0,0,0,1,0,0
E,∅,graphemisch,1,189.0,0.0053,0,0,0,0,1,0,0,0,0,0,0,0,0
H,5,graphemisch,1,60.0,0.0167,0,0,0,1,0,0,0,0,0,0,0,0,0
H, ,Segmentierung,1,60.0,0.0167,0,0,0,1,0,0,0,0,0,0,0,0,0
K,A,graphemisch,1,221.0,0.0045,0,0,0,1,0,0,0,0,0,0,0,0,0
K,J,graphemisch,1,221.0,0.0045,0,0,0,1,0,0,0,0,0,0,0,0,0
L,C,graphemisch,1,150.0,0.0067,0,0,0,1,0,0,0,0,0,0,0,0,0
K,r,graphemisch,1,221.0,0.0045,0,0,0,1,0,0,0,0,0,0,0,0,0
V,D,graphemisch,1,48.0,0.0208,0,0,0,1,0,0,0,0,0,0,0,0,0
V,B,graphemisch,1,48.0,0.0208,0,0,0,0,0,0,0,0,1,0,0,0,0
T,∅,graphemisch,1,144.0,0.0069,0,0,0,0,1,0,0,0,0,0,0,0,0
T,Z,graphemisch,1,144.0,0.0069,0,0,0,0,0,0,0,0,1,0,0,0,0
S,∅,graphemisch,1,211.0,0.0047,0,0,0,0,1,0,0,0,0,0,0,0,0
N,∅,graphemisch,1,88.0,0.0114,0,0,0,0,1,0,0,0,0,0,0,0,0
F,ö,graphemisch,1,137.0,0.0073,0,0,0,0,0,0,0,0,0,1,0,0,0
F,o,graphemisch,1,137.0,0.0073,0,0,0,0,1,0,0,0,0,0,0,0,0
I,∅,graphemisch,1,100.0,0.01,0,0,0,0,1,0,0,0,0,0,0,0,0
H,S,graphemisch,1,60.0,0.0167,0,0,0,0,0,0,0,0,1,0,0,0,0
l,n,graphemisch,1,951.0,0.0011,0,0,0,0,1,0,0,0,0,0,0,0,0
m, ,Segmentierung,1,293.0,0.0034,0,0,0,1,0,0,0,0,0,0,0,0,0
m,n,graphemisch,1,293.0,0.0034,0,0,0,1,0,0,0,0,0,0,0,0,0
l,i,graphemisch,1,951.0,0.0011,0,0,0,1,0,0,0,0,0,0,0,0,0
