provider,model,role,image,run_index,prompt_id,prompt_sha256,image_sha256,params_json,timestamp_utc,model_reported,done_reason,done_reason_raw,prompt_eval_count,eval_count,thinking_tokens,seconds,output_path,raw_path,error
google,gemini-3.5-flash,"Frontier-Obergrenze C (stable, nicht preview)",anzeige01.png,0,P-GEN-01,69593c0e4a78bedc298c1a2ce64d63847e26b6ec99752470e7f5a89a43d3a19e,10f886762ca5a277ea205c1d2a532b35610078c96c86ea920481e3e0a9dbb63f,"{""max_output_tokens"": 4096}",2026-08-12T10:41:18+00:00,gemini-3.5-flash,stop,STOP,1093,136,1570,10.2,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige01__google_gemini-3-5-flash.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige01__google_gemini-3-5-flash.json,
google,gemini-3.5-flash,"Frontier-Obergrenze C (stable, nicht preview)",anzeige02.png,0,P-GEN-01,69593c0e4a78bedc298c1a2ce64d63847e26b6ec99752470e7f5a89a43d3a19e,f967795f65d5fe7b3e2f768fcfa4451fd78e0d4b004204afa2d98825162ae968,"{""max_output_tokens"": 4096}",2026-08-12T10:41:28+00:00,gemini-3.5-flash,stop,STOP,1115,182,1679,8.6,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige02__google_gemini-3-5-flash.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige02__google_gemini-3-5-flash.json,
google,gemini-3.5-flash,"Frontier-Obergrenze C (stable, nicht preview)",anzeige03.png,0,P-GEN-01,69593c0e4a78bedc298c1a2ce64d63847e26b6ec99752470e7f5a89a43d3a19e,0f40d9be63c2a9fea1a56f222056a426fe51170477686ccc0911a2f2aa7d0400,"{""max_output_tokens"": 4096}",2026-08-12T10:41:37+00:00,gemini-3.5-flash,stop,STOP,1100,174,2281,19.0,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige03__google_gemini-3-5-flash.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige03__google_gemini-3-5-flash.json,
google,gemini-3.5-flash,"Frontier-Obergrenze C (stable, nicht preview)",anzeige04.png,0,P-GEN-01,69593c0e4a78bedc298c1a2ce64d63847e26b6ec99752470e7f5a89a43d3a19e,6739f20ce8fe34e41b1b20344234c79a040edb6037f7a1482dfc89e961e7b769,"{""max_output_tokens"": 4096}",2026-08-12T10:41:56+00:00,gemini-3.5-flash,stop,STOP,1107,201,2688,13.8,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige04__google_gemini-3-5-flash.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige04__google_gemini-3-5-flash.json,
google,gemini-3.5-flash,"Frontier-Obergrenze C (stable, nicht preview)",anzeige05.png,0,P-GEN-01,69593c0e4a78bedc298c1a2ce64d63847e26b6ec99752470e7f5a89a43d3a19e,8909ad06da3878e0ec189085bf8041dad4533018671e757c66b20278dc75ccf2,"{""max_output_tokens"": 4096}",2026-08-12T10:42:10+00:00,gemini-3.5-flash,stop,STOP,1119,90,1368,9.8,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige05__google_gemini-3-5-flash.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige05__google_gemini-3-5-flash.json,
